epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9725,0.75877,5.16669,1.15983,0.1483,0.3125,0.14266,0.13666,0.47719,4.15976,0.85975,3.795e-05,3.795e-05,3.795e-05
2,88.5262,0.59805,4.14823,1.06269,0.06517,0.625,0.1477,0.14079,0.40986,5.1876,0.82185,7.77789e-05,7.77789e-05,7.77789e-05
3,110.823,0.53268,3.52069,1.01175,0.27952,0.38542,0.24839,0.23252,0.43967,5.88985,0.88235,0.000115968,0.000115968,0.000115968
4,130.104,0.53734,2.83098,0.99564,0.34653,0.53663,0.45552,0.42964,0.41855,2.92893,0.81427,0.000152518,0.000152518,0.000152518
5,150.409,0.56048,2.39702,0.99551,0.41489,0.66277,0.51649,0.48213,0.47753,2.08311,0.85925,0.000187429,0.000187429,0.000187429
6,171.447,0.54452,2.15766,0.97885,0.40342,0.62594,0.63881,0.6045,0.42096,1.92774,0.8191,0.0002207,0.0002207,0.0002207
7,187.63,0.55966,1.83485,0.98307,0.61818,0.64822,0.68736,0.64728,0.44028,1.65614,0.82065,0.000252332,0.000252332,0.000252332
8,205.715,0.5498,1.63797,0.98318,0.52171,0.66425,0.72187,0.6501,0.49578,1.63148,0.86436,0.000282324,0.000282324,0.000282324
9,224.299,0.54862,1.48783,0.96161,0.82512,0.66,0.79649,0.73337,0.47422,1.22305,0.85004,0.000290352,0.000290352,0.000290352
10,246.185,0.52551,1.22991,0.94546,0.72165,0.59375,0.74432,0.66128,0.5147,1.47495,0.8684,0.000283521,0.000283521,0.000283521
11,267.033,0.54682,1.22592,0.9639,0.8353,0.55723,0.81525,0.71552,0.5629,1.29307,0.96059,0.00027669,0.00027669,0.00027669
12,286.495,0.5293,1.11527,0.96335,0.81145,0.66229,0.81524,0.73292,0.4727,1.23543,0.83353,0.000269859,0.000269859,0.000269859
13,305.88,0.49907,1.01033,0.9523,0.78151,0.69997,0.81312,0.71199,0.49832,1.14061,0.87596,0.000263028,0.000263028,0.000263028
14,326.538,0.49949,0.99494,0.93463,0.61,0.9115,0.85399,0.74089,0.53523,0.94978,0.89394,0.000256197,0.000256197,0.000256197
15,346.088,0.52701,0.95806,0.95495,0.84993,0.82961,0.8727,0.7661,0.5214,0.7285,0.87941,0.000249366,0.000249366,0.000249366
16,362.306,0.52111,0.9188,0.96219,0.82856,0.71835,0.89861,0.79782,0.53669,0.90705,0.8887,0.000242535,0.000242535,0.000242535
17,379.673,0.50432,0.90022,0.95208,0.92432,0.71948,0.94312,0.81226,0.54409,0.71642,0.91529,0.000235704,0.000235704,0.000235704
18,402.493,0.47159,0.80137,0.93414,0.91411,0.76444,0.91727,0.83227,0.49481,0.66222,0.86585,0.000228873,0.000228873,0.000228873
19,420.057,0.46736,0.73723,0.91369,0.95075,0.81048,0.89654,0.82088,0.50231,0.64695,0.88133,0.000222042,0.000222042,0.000222042
20,438.388,0.49018,0.77876,0.95241,0.92021,0.83284,0.93281,0.84995,0.4905,0.54937,0.88516,0.000215211,0.000215211,0.000215211
21,457.58,0.47984,0.75245,0.9695,0.87085,0.84299,0.93281,0.87153,0.48296,0.55148,0.86123,0.00020838,0.00020838,0.00020838
22,477.334,0.46595,0.7394,0.93865,0.9387,0.80865,0.93799,0.84523,0.45899,0.55135,0.84917,0.000201549,0.000201549,0.000201549
23,494.477,0.44376,0.69115,0.91765,0.92556,0.86858,0.96391,0.86391,0.45234,0.48014,0.84958,0.000194718,0.000194718,0.000194718
24,511.902,0.47917,0.67184,0.95778,0.90033,0.8279,0.98984,0.8976,0.44259,0.52053,0.8343,0.000187887,0.000187887,0.000187887
25,531.312,0.46059,0.65619,0.92919,0.8073,0.92598,0.95875,0.86443,0.45179,0.52039,0.83918,0.000181056,0.000181056,0.000181056
26,550.065,0.45391,0.63084,0.93932,0.78845,0.875,0.94836,0.86183,0.44804,0.52441,0.82755,0.000174225,0.000174225,0.000174225
27,566.775,0.43313,0.57552,0.92249,0.76788,0.9375,0.96391,0.86753,0.48089,0.45796,0.83178,0.000167394,0.000167394,0.000167394
28,585.029,0.45124,0.60173,0.93037,0.86876,0.9375,0.995,0.90865,0.48929,0.44075,0.86404,0.000160563,0.000160563,0.000160563
29,602.301,0.44916,0.56141,0.92451,0.85919,0.9375,0.96391,0.87649,0.48569,0.42219,0.8569,0.000153732,0.000153732,0.000153732
